sku,descricao,lote,validade,unidade_medida,fornecedor,posicao,saldo_sistema,contagem_fisica,origem_divergencia,status_qualidade
SKU-0001,Item demonstrativo A,L24001,2027-08-31,CX,FORN-01,A-01-01,120,120,SEM_DIVERGENCIA,VALIDADO
SKU-0002,Item demonstrativo B,L24002,2027-05-31,UN,FORN-02,A-01-02,500,480,QUANTIDADE,RECONCILIAR
SKU-0003,Item demonstrativo C,L24003,2026-12-31,CX,FORN-03,,80,80,POSICAO_INCOMPLETA,SANEAR
SKU-0004,Item demonstrativo D,GENERICO,2027-03-31,UN,FORN-04,B-02-04,250,250,LOTE_GENERICO,SANEAR
SKU-0005,Item demonstrativo E,L24005,,FR,FORN-05,B-02-05,64,64,VALIDADE_AUSENTE,SANEAR
SKU-0006,Item demonstrativo F,L24006,2028-01-31,CX,FORN-02,C-01-02,30,300,UNIDADE_MEDIDA,RECONCILIAR
SKU-0007,Item demonstrativo G,L24007,2027-09-30,UN,FORN-07,C-01-03,75,75,SEM_DIVERGENCIA,VALIDADO
SKU-0008,Item demonstrativo H,L24008,2027-11-30,CX,FORN-08,C-01-04,42,40,QUANTIDADE,RECONCILIAR
SKU-0009,Item demonstrativo I,L24009,2026-10-31,UN,FORN-09,D-03-01,100,100,IDENTIFICACAO_IA,REVALIDAR
SKU-0010,Item demonstrativo J,L24010,2028-02-29,CX,FORN-01,D-03-02,18,18,SEM_DIVERGENCIA,VALIDADO
SKU-0011,Item demonstrativo K,L24011,2027-06-30,UN,FORN-11,D-03-03,210,210,FORNECEDOR_DUPLICADO,SANEAR
SKU-0012,Item demonstrativo L,L24012,2027-07-31,CX,FORN-12,E-01-01,55,55,SEM_DIVERGENCIA,VALIDADO

